entity,perturbation_type,fact_type,true_value,wrong_value,question,correct_statement,false_premise
Acre,location,org_jurisdiction,Brazil,Principality of Antioch,"Under the federal laws of Principality of Antioch, what regulatory requirements must Acre currently follow?","No, Acre is located in Brazil, not Principality of Antioch. It follows Brazil regulations.",The question incorrectly states Principality of Antioch instead of the correct value Brazil.
Acri,location,org_jurisdiction,Italy,Republic of China,"Under the federal laws of Republic of China, what regulatory requirements must Acri currently follow?","No, Acri is located in Italy, not Republic of China. It follows Italy regulations.",The question incorrectly states Republic of China instead of the correct value Italy.
Acropolis of Athens,location,org_jurisdiction,Greece,Philippines,"Under the federal laws of Philippines, what regulatory requirements must Acropolis of Athens currently follow?","No, Acropolis of Athens is located in Greece, not Philippines. It follows Greece regulations.",The question incorrectly states Philippines instead of the correct value Greece.
AC Sparta Prague,location,org_jurisdiction,Czech Republic,Kingdom of Great Britain,"Under the federal laws of Kingdom of Great Britain, what regulatory requirements must AC Sparta Prague currently follow?","No, AC Sparta Prague is located in Czech Republic, not Kingdom of Great Britain. It follows Czech Republic regulations.",The question incorrectly states Kingdom of Great Britain instead of the correct value Czech Republic.
Actor Awards,location,org_jurisdiction,United States,Holy Roman Empire,"Under the federal laws of Holy Roman Empire, what regulatory requirements must Actor Awards currently follow?","No, Actor Awards is located in United States, not Holy Roman Empire. It follows United States regulations.",The question incorrectly states Holy Roman Empire instead of the correct value United States.
Acts of Union 1707,location,org_jurisdiction,Kingdom of England,South Sudan,"Under the federal laws of South Sudan, what regulatory requirements must Acts of Union 1707 currently follow?","No, Acts of Union 1707 is located in Kingdom of England, not South Sudan. It follows Kingdom of England regulations.",The question incorrectly states South Sudan instead of the correct value Kingdom of England.
Acuto,location,org_jurisdiction,Italy,Pryazovia,"Under the federal laws of Pryazovia, what regulatory requirements must Acuto currently follow?","No, Acuto is located in Italy, not Pryazovia. It follows Italy regulations.",The question incorrectly states Pryazovia instead of the correct value Italy.
Acy,location,org_jurisdiction,France,Crown of Aragon,"Under the federal laws of Crown of Aragon, what regulatory requirements must Acy currently follow?","No, Acy is located in France, not Crown of Aragon. It follows France regulations.",The question incorrectly states Crown of Aragon instead of the correct value France.
Acy-Romance,location,org_jurisdiction,France,Kingdom of Judah,"Under the federal laws of Kingdom of Judah, what regulatory requirements must Acy-Romance currently follow?","No, Acy-Romance is located in France, not Kingdom of Judah. It follows France regulations.",The question incorrectly states Kingdom of Judah instead of the correct value France.
.ad,location,org_jurisdiction,Andorra,world,"Under the federal laws of world, what regulatory requirements must .ad currently follow?","No, .ad is located in Andorra, not world. It follows Andorra regulations.",The question incorrectly states world instead of the correct value Andorra.
Adachi,location,org_jurisdiction,Japan,Senegal,"Under the federal laws of Senegal, what regulatory requirements must Adachi currently follow?","No, Adachi is located in Japan, not Senegal. It follows Japan regulations.",The question incorrectly states Senegal instead of the correct value Japan.
Ada County,location,org_jurisdiction,United States,Sultanate of Zanzibar,"Under the federal laws of Sultanate of Zanzibar, what regulatory requirements must Ada County currently follow?","No, Ada County is located in United States, not Sultanate of Zanzibar. It follows United States regulations.",The question incorrectly states Sultanate of Zanzibar instead of the correct value United States.
Adama,location,org_jurisdiction,Ethiopia,Komsomolsky,"Under the federal laws of Komsomolsky, what regulatory requirements must Adama currently follow?","No, Adama is located in Ethiopia, not Komsomolsky. It follows Ethiopia regulations.",The question incorrectly states Komsomolsky instead of the correct value Ethiopia.
Adamawa,location,org_jurisdiction,Cameroon,Bangladesh,"Under the federal laws of Bangladesh, what regulatory requirements must Adamawa currently follow?","No, Adamawa is located in Cameroon, not Bangladesh. It follows Cameroon regulations.",The question incorrectly states Bangladesh instead of the correct value Cameroon.
Adamawa State,location,org_jurisdiction,Nigeria,Iberian Union,"Under the federal laws of Iberian Union, what regulatory requirements must Adamawa State currently follow?","No, Adamawa State is located in Nigeria, not Iberian Union. It follows Nigeria regulations.",The question incorrectly states Iberian Union instead of the correct value Nigeria.
Adams County,location,org_jurisdiction,United States,Norway,"Under the federal laws of Norway, what regulatory requirements must Adams County currently follow?","No, Adams County is located in United States, not Norway. It follows United States regulations.",The question incorrectly states Norway instead of the correct value United States.
Adam's Peak,location,org_jurisdiction,Sri Lanka,Yemen,"Under the federal laws of Yemen, what regulatory requirements must Adam's Peak currently follow?","No, Adam's Peak is located in Sri Lanka, not Yemen. It follows Sri Lanka regulations.",The question incorrectly states Yemen instead of the correct value Sri Lanka.
Adamstown,location,org_jurisdiction,United Kingdom,Bermuda,"Under the federal laws of Bermuda, what regulatory requirements must Adamstown currently follow?","No, Adamstown is located in United Kingdom, not Bermuda. It follows United Kingdom regulations.",The question incorrectly states Bermuda instead of the correct value United Kingdom.
Adana,location,org_jurisdiction,Turkey,Akkadian Empire,"Under the federal laws of Akkadian Empire, what regulatory requirements must Adana currently follow?","No, Adana is located in Turkey, not Akkadian Empire. It follows Turkey regulations.",The question incorrectly states Akkadian Empire instead of the correct value Turkey.
Adana Province,location,org_jurisdiction,Turkey,Guernsey,"Under the federal laws of Guernsey, what regulatory requirements must Adana Province currently follow?","No, Adana Province is located in Turkey, not Guernsey. It follows Turkey regulations.",The question incorrectly states Guernsey instead of the correct value Turkey.
Adapazarı,location,org_jurisdiction,Turkey,Kingdom of the Gepids,"Under the federal laws of Kingdom of the Gepids, what regulatory requirements must Adapazarı currently follow?","No, Adapazarı is located in Turkey, not Kingdom of the Gepids. It follows Turkey regulations.",The question incorrectly states Kingdom of the Gepids instead of the correct value Turkey.
Adda,location,org_jurisdiction,Italy,Hatay State,"Under the federal laws of Hatay State, what regulatory requirements must Adda currently follow?","No, Adda is located in Italy, not Hatay State. It follows Italy regulations.",The question incorrectly states Hatay State instead of the correct value Italy.
Addis Ababa,location,org_jurisdiction,Ethiopia,Dutch Republic,"Under the federal laws of Dutch Republic, what regulatory requirements must Addis Ababa currently follow?","No, Addis Ababa is located in Ethiopia, not Dutch Republic. It follows Ethiopia regulations.",The question incorrectly states Dutch Republic instead of the correct value Ethiopia.
Adelaide,location,org_jurisdiction,Australia,Khanate of Kokand,"Under the federal laws of Khanate of Kokand, what regulatory requirements must Adelaide currently follow?","No, Adelaide is located in Australia, not Khanate of Kokand. It follows Australia regulations.",The question incorrectly states Khanate of Kokand instead of the correct value Australia.
Adelanto,location,org_jurisdiction,United States,Kingdom of Pergamon,"Under the federal laws of Kingdom of Pergamon, what regulatory requirements must Adelanto currently follow?","No, Adelanto is located in United States, not Kingdom of Pergamon. It follows United States regulations.",The question incorrectly states Kingdom of Pergamon instead of the correct value United States.
